来源模型,位点名称,位点类型,元素组合,VASP原子编号,坐标_X,坐标_Y,坐标_Z,原位局域d带中心(eV),基底_局域总d电子数,基底_平均功函数(eV),基底_平均电离能(eV)
CONTCAR_1,CONTCAR_1_Ontop_Ni,Ontop,Ni,1,0.075,7.6,6.179,-1.3964,8.0,5.2,7.64
CONTCAR_1,CONTCAR_1_Ontop_Ni,Ontop,Ni,5,0.059,2.588,6.175,-1.4384,8.0,5.2,7.64
CONTCAR_1,CONTCAR_1_Ontop_Ni,Ontop,Ni,8,4.422,2.613,6.232,-1.2332,8.0,5.2,7.64
CONTCAR_1,CONTCAR_1_Ontop_Fe,Ontop,Fe,12,2.112,1.299,6.229,-0.9671,6.0,4.5,7.9
CONTCAR_1,CONTCAR_1_Ontop_Fe,Ontop,Fe,14,2.118,3.851,6.253,-0.9516,6.0,4.5,7.9
CONTCAR_1,CONTCAR_1_Ontop_Fe,Ontop,Fe,15,9.075,2.711,6.386,-0.6413,6.0,4.5,7.9
CONTCAR_1,CONTCAR_1_Ontop_Fe,Ontop,Fe,16,11.253,3.874,6.293,-0.8911,6.0,4.5,7.9
CONTCAR_1,CONTCAR_1_Ontop_Fe,Ontop,Fe,21,9.002,5.145,6.221,-0.7477,6.0,4.5,7.9
CONTCAR_1,CONTCAR_1_Ontop_Cu,Ontop,Cu,32,6.639,6.491,6.307,-2.5536,10.0,4.7,7.73
CONTCAR_1,CONTCAR_1_Ontop_Co,Ontop,Co,36,0.054,5.163,6.177,-1.1607,7.0,5.0,7.88
CONTCAR_1,CONTCAR_1_Ontop_Co,Ontop,Co,37,2.229,6.409,6.143,-1.0916,7.0,5.0,7.88
CONTCAR_1,CONTCAR_1_Ontop_Co,Ontop,Co,41,11.182,6.288,6.2,-1.0364,7.0,5.0,7.88
CONTCAR_1,CONTCAR_1_Ontop_Mn,Ontop,Mn,44,4.355,0.109,6.42,-0.2325,5.0,4.1,7.43
CONTCAR_1,CONTCAR_1_Ontop_Mn,Ontop,Mn,45,6.678,1.395,6.386,-0.2245,5.0,4.1,7.43
CONTCAR_1,CONTCAR_1_Ontop_Mn,Ontop,Mn,47,8.98,7.661,6.499,-0.2293,5.0,4.1,7.43
CONTCAR_1,CONTCAR_1_Ontop_Mn,Ontop,Mn,48,11.307,1.228,6.418,-0.2184,5.0,4.1,7.43
CONTCAR_1,CONTCAR_1_Ontop_Mn,Ontop,Mn,50,6.699,3.969,6.377,-0.1552,5.0,4.1,7.43
CONTCAR_1,CONTCAR_1_Ontop_Mn,Ontop,Mn,54,4.356,5.125,6.354,-0.1803,5.0,4.1,7.43
CONTCAR_1,CONTCAR_1_Bridge_Fe-Mn,Bridge,Fe-Mn,15-47,9.028,1.352,6.442,-0.4393,11.0,4.3,7.665
CONTCAR_1,CONTCAR_1_Bridge_Fe-Mn,Bridge,Fe-Mn,15-45,7.877,2.053,6.386,-0.4368,11.0,4.3,7.665
CONTCAR_1,CONTCAR_1_Bridge_Mn-Mn,Bridge,Mn-Mn,47-45,7.829,0.694,6.442,-0.2269,10.0,4.1,7.43
CONTCAR_1,CONTCAR_1_Bridge_Co-Mn,Bridge,Co-Mn,41-48,11.245,7.592,6.309,-0.6382,12.0,4.55,7.655
